p0	p1	p2	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120	s121	s122	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s135	s136	s137	s138	s139	s140	s141	s142	s143	s144	s145	s146	s147	s148	s149	s150	s151	s152	s153	s154	s155	s156	s157	s158	s159	s160	s161	s162	s163	s164	s165	s166	s167	s168	s169	s170	s171	s172	s173	s174	s175	s176	s177	s178	s179	s180	s181	s182	s183	s184	s185	s186	s187	s188	s189	s190	s191	s192	s193	s194	s195	s196	s197	s198	s199	s200	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	s211	s212	s213	s214	s215	s216	s217	s218	s219	s220	s221	s222	s223	s224	s225	s226	s227	s228	s229	s230	s231	s232	s233	s234	s235	s236	s237	s238	s239	s240	s241	s242	s243	s244	s245	s246	s247	s248	s249	s250	s251	s252	s253	s254	s255	s256	s257	s258	s259	s260	s261	s262	s263	s264	s265	s266	s267	s268	s269	s270	s271	s272	s273	s274	s275	s276	s277	s278	s279	s280	s281	s282	s283	s284	s285	s286	s287	s288	s289	s290	s291	s292	s293	s294	s295	s296	s297	s298	s299	s300	s301	s302	s303	s304	s305	s306	s307	s308	s309	s310	s311	s312	s313	s314	s315	s316	s317	s318	s319	s320	s321	s322	s323	s324	s325	s326	s327	s328	s329	s330	s331	s332	s333	s334	s335	s336	s337	s338	s339	s340	s341	s342	s343	s344	s345	s346	s347	s348	s349	s350	s351	s352	s353	s354	s355	s356	s357	s358	s359	s360	s361	s362	s363	s364	s365	s366	s367	s368	s369	s370	s371	s372	s373	s374	s375	s376	s377	s378	s379	s380	s381	s382	s383	s384	s385	s386	s387	s388	s389	s390	s391	s392	s393	s394	s395	s396	s397	s398	s399	s400	s401	s402	s403	s404	s405	s406	s407	s408	s409	s410	s411	s412	s413	s414	s415	s416	s417	s418	s419	
			*CCC	Max	Align
ape-taba$$$p0$s0	apetaba	0.000	0	0	1
	aptaba	1.000	0	1	0
ape-ttaba$$$p0$s1	apettaba	0.000	0	0	1
	apttaba	1.000	1	1	0
ape-saba$$$p0$s2	apesaba	0.000	0	0	1
	apsaba	1.000	0	1	0
ape-tsaba$$$p0$s3	apetsaba	0.000	0	0	1
	aptsaba	1.000	1	1	0
ape-naba$$$p0$s4	apenaba	0.000	0	0	1
	apnaba	1.000	0	1	0
ape-tnaba$$$p0$s5	apetnaba	0.000	0	0	1
	aptnaba	1.000	1	1	0
ape-laba$$$p0$s6	apelaba	0.000	0	0	1
	aplaba	1.000	0	1	0
ape-tlaba$$$p0$s7	apetlaba	0.000	0	0	1
	aptlaba	1.000	1	1	0
ape-raba$$$p0$s8	aperaba	0.000	0	0	1
	apraba	1.000	0	1	0
ape-traba$$$p0$s9	apetraba	0.000	0	0	1
	aptraba	1.000	1	1	0
ape-vaba$$$p0$s10	apevaba	0.000	0	0	1
	apvaba	1.000	0	1	0
ape-tvaba$$$p0$s11	apetvaba	0.000	0	0	1
	aptvaba	1.000	1	1	0
ape-staba$$$p0$s12	apestaba	0.000	0	0	1
	apstaba	1.000	1	1	0
ape-ssaba$$$p0$s13	apessaba	0.000	0	0	1
	apssaba	1.000	1	1	0
ape-snaba$$$p0$s14	apesnaba	0.000	0	0	1
	apsnaba	1.000	1	1	0
ape-slaba$$$p0$s15	apeslaba	0.000	0	0	1
	apslaba	1.000	1	1	0
ape-sraba$$$p0$s16	apesraba	0.000	0	0	1
	apsraba	1.000	1	1	0
ape-svaba$$$p0$s17	apesvaba	0.000	0	0	1
	apsvaba	1.000	1	1	0
ape-ntaba$$$p0$s18	apentaba	0.000	0	0	1
	apntaba	1.000	1	1	0
ape-nsaba$$$p0$s19	apensaba	0.000	0	0	1
	apnsaba	1.000	1	1	0
ape-nnaba$$$p0$s20	apennaba	0.000	0	0	1
	apnnaba	1.000	1	1	0
ape-nlaba$$$p0$s21	apenlaba	0.000	0	0	1
	apnlaba	1.000	1	1	0
ape-nraba$$$p0$s22	apenraba	0.000	0	0	1
	apnraba	1.000	1	1	0
ape-nvaba$$$p0$s23	apenvaba	0.000	0	0	1
	apnvaba	1.000	1	1	0
ape-ltaba$$$p0$s24	apeltaba	0.000	0	0	1
	apltaba	1.000	1	1	0
ape-lsaba$$$p0$s25	apelsaba	0.000	0	0	1
	aplsaba	1.000	1	1	0
ape-lnaba$$$p0$s26	apelnaba	0.000	0	0	1
	aplnaba	1.000	1	1	0
