p0	p1	p2	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120	s121	s122	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s135	s136	s137	s138	s139	s140	s141	s142	s143	s144	s145	s146	s147	s148	s149	s150	s151	s152	s153	s154	s155	s156	s157	s158	s159	s160	s161	s162	s163	s164	s165	s166	s167	s168	s169	s170	s171	s172	s173	s174	s175	s176	s177	s178	s179	s180	s181	s182	s183	s184	s185	s186	s187	s188	s189	s190	s191	s192	s193	s194	s195	s196	s197	s198	s199	s200	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	s211	s212	s213	s214	s215	s216	s217	s218	s219	s220	s221	s222	s223	s224	s225	s226	s227	s228	s229	s230	s231	s232	s233	s234	s235	s236	s237	s238	s239	s240	s241	s242	s243	s244	s245	s246	s247	s248	s249	s250	s251	s252	s253	s254	s255	s256	s257	s258	s259	s260	s261	s262	s263	s264	s265	s266	s267	s268	s269	s270	s271	s272	s273	s274	s275	s276	s277	s278	s279	s280	s281	s282	s283	s284	s285	s286	s287	s288	s289	s290	s291	s292	s293	s294	s295	s296	s297	s298	s299	s300	s301	s302	s303	s304	s305	s306	s307	s308	s309	s310	s311	s312	s313	s314	s315	s316	s317	s318	s319	s320	s321	s322	s323	s324	s325	s326	s327	s328	s329	s330	s331	s332	s333	s334	s335	s336	s337	s338	s339	s340	s341	s342	s343	s344	s345	s346	s347	s348	s349	s350	s351	s352	s353	s354	s355	s356	s357	s358	s359	
			*CCC	Max	Align
ape-ttaba$$$p0$s0	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s1	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s2	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s3	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s4	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s5	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s6	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s7	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s8	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s9	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s10	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s11	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s12	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s13	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s14	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s15	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s16	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s17	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s18	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s19	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s20	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s21	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s22	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
